Model Timing Curve: boositng timing n_estimators - n_estimators - spam,test,train
1,0.0005249999994703103,0.04286300000057963
2,0.0010970000002998859,0.0894349999998667
5,0.0015329999987443443,0.194510999999693
10,0.002449999999953434,0.3655689999995957
20,0.004661000000851345,0.7166350000006787
30,0.00846099999944272,1.077381000000969
45,0.012031000000206404,1.4847049999989395
60,0.015121000000362983,2.138648000000103
80,0.017418999999790685,2.447489999998652
100,0.022299000000202795,2.8086939999993774
