,train,test
368,0.004597999999987223,0.0012259999998605053
736,0.010676999999759573,0.0012860000001637673
1104,0.014385999999831256,0.0013770000000477012
1472,0.01923400000032416,0.00112200000012308
1840,0.03140299999995477,0.001231000000188942
2208,0.036978000000090105,0.001231000000188942
2576,0.04349500000034823,0.0010569999999461288
2944,0.04614899999978661,0.001570999999785272
3312,0.05598599999984799,0.0009619999996175466
