Model Timing Curve: boositng timing n_estimators - n_estimators - adult,test,train
1,0.001959999999598949,0.14893099999972037
2,0.0033279999988735653,0.2885389999992185
5,0.007972999999765307,0.7646119999990333
10,0.01391699999840057,1.5323980000011943
20,0.02875800000037998,3.065333999998984
30,0.047556000001350185,4.588375999999698
45,0.06741800000054354,6.269838999998683
60,0.08237700000063342,7.027164999999513
80,0.09357600000112143,8.182698000000528
100,0.11204300000099465,9.338167999998404
