Model Timing Curve: knn_timing - adult,train,validation
1930,0.000534999999217689,0.33917299999666284
3860,0.0006900000007590279,0.6289339999966614
5790,0.0008199999974749517,0.9881730000015523
7721,0.0013760000001639128,1.3295330000000831
9651,0.0017220000008819625,1.6977979999974195
11581,0.0018640000016603153,2.0355000000017753
13512,0.002595000001747394,2.2388339999997697
15442,0.00793100000009872,2.4954730000026757
17372,0.010867000000871485,2.9167840000009164
