max_depth,test,train
1,0.0004319999999893298,0.005535999999978003
2,0.0001859999999851425,0.0071350000000052205
3,0.0002829999999960364,0.012188999999978023
4,0.0002090000000123382,0.014044000000012602
5,0.00022599999999783904,0.016517999999990707
6,0.00020799999998644125,0.019574000000005753
7,0.00021000000000981345,0.02208300000000918
8,0.00027199999999538704,0.024145000000004302
9,0.00028799999998341264,0.027961000000004788
10,0.0003330000000119071,0.035193999999989956
11,0.0002640000000155851,0.03407700000002478
12,0.00021700000002056186,0.03285199999999122
13,0.00022599999999783904,0.03423499999999535
14,0.0002890000000093096,0.038979000000011865
15,0.0003079999999897609,0.03999899999999457
16,0.0003120000000080836,0.037002999999998565
17,0.0003129999999771371,0.038347000000015896
18,0.0003009999999790125,0.03873699999999758
19,0.0003120000000080836,0.038572999999985313
20,0.0003010000000074342,0.03876500000001215
21,0.00033600000000433283,0.039322999999996
22,0.00036500000001638,0.040382000000022344
23,0.0003970000000208529,0.044049000000001115
24,0.00027399999999033753,0.03901499999997782
25,0.00033400000000938235,0.04051499999999919
26,0.00031599999999798456,0.04182699999998363
27,0.0003240000000062082,0.04051199999997834
28,0.0003260000000011587,0.04115100000001348
29,0.0002639999999871634,0.03870000000000573
30,0.00029799999998658677,0.03872799999999188
31,0.00031100000001060835,0.039170000000012806
32,0.00030600000002323213,0.03877199999999448
33,0.00025800000000231194,0.039045999999984815
34,0.0003120000000080836,0.039256999999992104
35,0.000321999999982836,0.03924299999999903
36,0.0003100000000131331,0.03902000000002204
37,0.00031300000000555883,0.03880800000001727
38,0.0002939999999966858,0.03895199999999477
39,0.00023900000002186061,0.03872200000000703
40,0.00029299999999921056,0.04197800000000029
41,0.0002499999999940883,0.03906000000000631
42,0.0003169999999954598,0.039815000000004375
43,0.0003240000000062082,0.039243999999996504
44,0.000319000000018832,0.042232000000012704
45,0.0002920000000017353,0.041056999999995014
46,0.00024299999998333988,0.03887299999999527
47,0.00033600000000433283,0.04231799999999453
48,0.0002639999999871634,0.03887400000002117
49,0.0002459999999757656,0.038752999999985605
